all_families,family,genus,species,common_name,notes
linaceae,,,,,
linderniaceae,,,,,
loasaceae,,,,,
loganiaceae,,,,,
lophiocarpaceae,,,,,
lophopyxidaceae,,,,,
loranthaceae,,,,,
lowiaceae,,,,,
lythraceae,,,,,
macarthuriaceae,,,,,
magnoliaceae,,,,,
malpighiaceae,,,,,
malvaceae,,,,,
marantaceae,,,,,
marcgraviaceae,,,,,
martyniaceae,,,,,
maundiaceae,,,,,
mayacaceae,,,,,
mazaceae,,,,,
melanthiaceae,,,,,
melastomataceae,,,,,
meliaceae,,,,,
melianthaceae,,,,,
menispermaceae,,,,,
menyanthaceae,,,,,
metteniusaceae,,,,,
microteaceae,,,,,
misodendraceae,,,,,
mitrastemonaceae,,,,,
molluginaceae,,,,,
monimiaceae,,,,,
montiaceae,,,,,
montiniaceae,,,,,
moraceae,,,,,
moringaceae,,,,,
muntingiaceae,,,,,
musaceae,,,,,
myodocarpaceae,,,,,
myricaceae,,,,,
myristicaceae,,,,,
myrothamnaceae,,,,,
myrtaceae,,,,,
nanodeaceae,,,,,
nartheciaceae,,,,,
nelumbonaceae,,,,,
nepenthaceae,,,,,
neuradaceae,,,,,
nitrariaceae,,,,,
nothofagaceae,,,,,
nyctaginaceae,,,,,
nymphaeaceae,,,,,
nyssaceae,,,,,
ochnaceae,,,,,
octoknemaceae,,,,,
olacaceae,,,,,
oleaceae,,,,,
onagraceae,,,,,
oncothecaceae,,,,,
opiliaceae,,,,,
orchidaceae,,,,,
orobanchaceae,,,,,
oxalidaceae,,,,,
paeoniaceae,,,,,
pandaceae,,,,,
pandanaceae,,,,,
papaveraceae,,,,,
paracryphiaceae,,,,,
passifloraceae,,,,,
paulowniaceae,,,,,
pedaliaceae,,,,,
peltanthera,,,,,
penaeaceae,,,,,
pennantiaceae,,,,,
pentadiplandraceae,,,,,
pentaphragmataceae,,,,,
pentaphylacaceae,,,,,
penthoraceae,,,,,
peraceae,,,,,
peridiscaceae,,,,,
petenaeaceae,,,,,
petermanniaceae,,,,,
petiveriaceae,,,,,
petrosaviaceae,,,,,
phellinaceae,,,,,
philesiaceae,,,,,
philydraceae,,,,,
phrymaceae,,,,,
phyllanthaceae,,,,,
phyllonomaceae,,,,,
physenaceae,,,,,
phytolaccaceae,,,,,
picramniaceae,,,,,
picrodendraceae,,,,,
piperaceae,,,,,
pittosporaceae,,,,,
plantaginaceae,,,,,
platanaceae,,,,,
plocospermataceae,,,,,
plumbaginaceae,,,,,
poaceae,,,,,
podostemaceae,,,,,
polemoniaceae,,,,,
polygalaceae,,,,,
polygonaceae,,,,,
pontederiaceae,,,,,
portulacaceae,,,,,
posidoniaceae,,,,,
potamogetonaceae,,,,,
primulaceae,,,,,
proteaceae,,,,,
putranjivaceae,,,,,
quillajaceae,,,,,
rafflesiaceae,,,,,
ranunculaceae,,,,,
rapateaceae,,,,,
resedaceae,,,,,
restionaceae,,,,,
rhabdodendraceae,,,,,
rhamnaceae,,,,,
rhizophoraceae,,,,,
ripogonaceae,,,,,
roridulaceae,,,,,
rosaceae,,,,,
